"","oro_type","year","y","component","variable_name"
"1","CCS",1970,1,"Academic
(N publications)","Publications (N)"
"2","CCS",1974,1,"Academic
(N publications)","Publications (N)"
"3","CCS",1977,1,"Academic
(N publications)","Publications (N)"
"4","CCS",1979,1,"Academic
(N publications)","Publications (N)"
"5","CCS",1980,1,"Academic
(N publications)","Publications (N)"
"6","CCS",1981,2,"Academic
(N publications)","Publications (N)"
"7","CCS",1982,1,"Academic
(N publications)","Publications (N)"
"8","CCS",1983,1,"Academic
(N publications)","Publications (N)"
"9","CCS",1984,4,"Academic
(N publications)","Publications (N)"
"10","CCS",1985,1,"Academic
(N publications)","Publications (N)"
"11","CCS",1987,2,"Academic
(N publications)","Publications (N)"
"12","CCS",1989,2,"Academic
(N publications)","Publications (N)"
"13","CCS",1990,1,"Academic
(N publications)","Publications (N)"
"14","CCS",1991,9,"Academic
(N publications)","Publications (N)"
"15","CCS",1992,11,"Academic
(N publications)","Publications (N)"
"16","CCS",1993,12,"Academic
(N publications)","Publications (N)"
"17","CCS",1994,13,"Academic
(N publications)","Publications (N)"
"18","CCS",1995,15,"Academic
(N publications)","Publications (N)"
"19","CCS",1996,16,"Academic
(N publications)","Publications (N)"
"20","CCS",1997,29,"Academic
(N publications)","Publications (N)"
"21","CCS",1998,10,"Academic
(N publications)","Publications (N)"
"22","CCS",1999,21,"Academic
(N publications)","Publications (N)"
"23","CCS",2000,15,"Academic
(N publications)","Publications (N)"
"24","CCS",2001,26,"Academic
(N publications)","Publications (N)"
"25","CCS",2002,4,"Academic
(N publications)","Publications (N)"
"26","CCS",2003,42,"Academic
(N publications)","Publications (N)"
"27","CCS",2004,40,"Academic
(N publications)","Publications (N)"
"28","CCS",2005,71,"Academic
(N publications)","Publications (N)"
"29","CCS",2006,57,"Academic
(N publications)","Publications (N)"
"30","CCS",2007,54,"Academic
(N publications)","Publications (N)"
"31","CCS",2008,76,"Academic
(N publications)","Publications (N)"
"32","CCS",2009,139,"Academic
(N publications)","Publications (N)"
"33","CCS",2010,95,"Academic
(N publications)","Publications (N)"
"34","CCS",2011,157,"Academic
(N publications)","Publications (N)"
"35","CCS",2012,117,"Academic
(N publications)","Publications (N)"
"36","CCS",2013,179,"Academic
(N publications)","Publications (N)"
"37","CCS",2014,214,"Academic
(N publications)","Publications (N)"
"38","CCS",2015,133,"Academic
(N publications)","Publications (N)"
"39","CCS",2016,125,"Academic
(N publications)","Publications (N)"
"40","CCS",2017,173,"Academic
(N publications)","Publications (N)"
"41","CCS",2018,149,"Academic
(N publications)","Publications (N)"
"42","CCS",2019,162,"Academic
(N publications)","Publications (N)"
"43","CCS",2020,196,"Academic
(N publications)","Publications (N)"
"44","CCS",2021,202,"Academic
(N publications)","Publications (N)"
"45","CCS",2022,163,"Academic
(N publications)","Publications (N)"
"46","CCS",2023,14,"Academic
(N publications)","Publications (N)"
"47","Efficiency",1961,1,"Academic
(N publications)","Publications (N)"
"48","Efficiency",1967,1,"Academic
(N publications)","Publications (N)"
"49","Efficiency",1970,2,"Academic
(N publications)","Publications (N)"
"50","Efficiency",1972,1,"Academic
(N publications)","Publications (N)"
"51","Efficiency",1973,2,"Academic
(N publications)","Publications (N)"
"52","Efficiency",1975,3,"Academic
(N publications)","Publications (N)"
"53","Efficiency",1979,7,"Academic
(N publications)","Publications (N)"
"54","Efficiency",1980,3,"Academic
(N publications)","Publications (N)"
"55","Efficiency",1981,2,"Academic
(N publications)","Publications (N)"
"56","Efficiency",1982,1,"Academic
(N publications)","Publications (N)"
"57","Efficiency",1983,1,"Academic
(N publications)","Publications (N)"
"58","Efficiency",1985,1,"Academic
(N publications)","Publications (N)"
"59","Efficiency",1986,2,"Academic
(N publications)","Publications (N)"
"60","Efficiency",1987,1,"Academic
(N publications)","Publications (N)"
"61","Efficiency",1988,3,"Academic
(N publications)","Publications (N)"
"62","Efficiency",1989,6,"Academic
(N publications)","Publications (N)"
"63","Efficiency",1990,3,"Academic
(N publications)","Publications (N)"
"64","Efficiency",1991,3,"Academic
(N publications)","Publications (N)"
"65","Efficiency",1992,3,"Academic
(N publications)","Publications (N)"
"66","Efficiency",1993,1,"Academic
(N publications)","Publications (N)"
"67","Efficiency",1994,2,"Academic
(N publications)","Publications (N)"
"68","Efficiency",1995,5,"Academic
(N publications)","Publications (N)"
"69","Efficiency",1996,5,"Academic
(N publications)","Publications (N)"
