Habitat,Location,Latitude,Longitude,Year,Reference
Mangrove,"Nam Ha Province,Vietnam",20.58352,105.92299,1994,"Adger NW, Kelly PM, Tri NH (1997) Valuing the products and services of mangrove restoration. Commonwealth Forestry Review 76:198-202 AND Tri NH, Adger WN, Kelly PM (1998) Natural resource management in mitigating climate impacts: the example of mangrove restoration in Vietnam. Glob Environ Change-Human Policy Dimens 8:49-61"
Mangrove,"Niger Delta,Nigeria",5.326298,6.44575,1998,"Ainodion MJ, Robnett CR, Ajose TI (2002) Mangrove Restoration by an Operating Company in the Niger Delta. Proc International Conference on Health, Safety and Environment in Oil and Gas Exploration and Production, Kuala Lumpur: 1001-1014"
Mangrove,"Indian River Lagoon, Florida, USA",28.058399,-80.57625,1991,"Brockmeyer R, Rey J, Virnstein R, Gilmore R, Earnest L (1997) Rehabilitation of impounded estuarine wetlands by hydrologic reconnection to the Indian River Lagoon, Florida (USA). Wetl Ecol Manag 4:93ñ109"
Mangrove,"Tanakeke Island and Marus, South Sulawesi,Indonesia",-5.515073,119.303164,2009,"Brown B, Fadillah R, Nurdin Y, Soulsby I, Ahmad R (2014) CASE STUDY: Community Based Ecological Mangrove Rehabilitation (CBEMR) in Indonesia. Sapiens 7:1-12"
Mangrove,"Guangdong Province, China",22.922713,113.387122,2001,"Chen LZ, Wang WQ, Zhang YH, Lin GH (2009) Recent progresses in mangrove conservation, restoration and research in China. J Plant Ecol 2:45-54"
Mangrove,"Yueqing, Zhejiang Province,China",28.104775,121.010674,1980,"Chen LZ, Wang WQ, Zhang YH, Lin GH (2009) Recent progresses in mangrove conservation, restoration and research in China. J Plant Ecol 2:45-54"
Mangrove,"Kooragang Island, Newcastle,Australia",-32.867474,151.744333,1995,"Day S, Streever WJ, Watts JJ (1999) An experimental assessment of slag as a substrate for mangrove rehabilitation. Restor Ecol 7:139-144"
Mangrove,Bangladesh,22.324347,91.835564,1980,"Erftemeijer P, Lewis III R (1999) Planting mangroves on intertidal mudflats: habitat restoration or habitat conversion. In: Proceedings of the ECOTONE VIII seminar enhancing coastal ecosystems restoration for the 21st century, Ranong, Thailand.p 23ñ28"
Mangrove,Hong Kong,22.342852,114.09701,1990,"Erftemeijer P, Lewis III R (1999) Planting mangroves on intertidal mudflats: habitat restoration or habitat conversion. In: Proceedings of the ECOTONE VIII seminar enhancing coastal ecosystems restoration for the 21st century, Ranong, Thailand.p 23ñ28"
Mangrove,"Central Visayas,Philippines",9.925967,124.204568,1984,"Erftemeijer P, Lewis III R (1999) Planting mangroves on intertidal mudflats: habitat restoration or habitat conversion. In: Proceedings of the ECOTONE VIII seminar enhancing coastal ecosystems restoration for the 21st century, Ranong, Thailand.p 23ñ28"
Mangrove,"various,Philippines",14.603368,121.128192,1990,"Erftemeijer P, Lewis III R (1999) Planting mangroves on intertidal mudflats: habitat restoration or habitat conversion. In: Proceedings of the ECOTONE VIII seminar enhancing coastal ecosystems restoration for the 21st century, Ranong, Thailand.p 23ñ28"
Mangrove,"Selangor,Malaysia",3.068975,101.499805,1986,"Erftemeijer P, Lewis III R (1999) Planting mangroves on intertidal mudflats: habitat restoration or habitat conversion. In: Proceedings of the ECOTONE VIII seminar enhancing coastal ecosystems restoration for the 21st century, Ranong, Thailand.p 23ñ28"
Mangrove,"various,Thailand",15.704272,101.120515,1991,"Erftemeijer P, Lewis III R (1999) Planting mangroves on intertidal mudflats: habitat restoration or habitat conversion. In: Proceedings of the ECOTONE VIII seminar enhancing coastal ecosystems restoration for the 21st century, Ranong, Thailand.p 23ñ28"
Mangrove,"Ban Don Bay,Thailand",9.270964,99.261703,1995,"Erftemeijer P, Lewis III R (1999) Planting mangroves on intertidal mudflats: habitat restoration or habitat conversion. In: Proceedings of the ECOTONE VIII seminar enhancing coastal ecosystems restoration for the 21st century, Ranong, Thailand.p 23ñ28"
Mangrove,"Nakhon Si Thammarat Province,Thailand",8.438035,99.969646,1999,"Erftemeijer P, Lewis III R (1999) Planting mangroves on intertidal mudflats: habitat restoration or habitat conversion. In: Proceedings of the ECOTONE VIII seminar enhancing coastal ecosystems restoration for the 21st century, Ranong, Thailand.p 23ñ28"
Mangrove,"Pattani Bay,Thailand",8.43882,99.973833,1990,"Erftemeijer P, Lewis III R (1999) Planting mangroves on intertidal mudflats: habitat restoration or habitat conversion. In: Proceedings of the ECOTONE VIII seminar enhancing coastal ecosystems restoration for the 21st century, Ranong, Thailand.p 23ñ28"
Mangrove,"Samut Songkram,Thailand",13.384228,99.990647,1994,"Erftemeijer P, Lewis III R (1999) Planting mangroves on intertidal mudflats: habitat restoration or habitat conversion. In: Proceedings of the ECOTONE VIII seminar enhancing coastal ecosystems restoration for the 21st century, Ranong, Thailand.p 23ñ28"
Mangrove,"Samut Songkram,Thailand",13.384228,99.990647,1993,"Erftemeijer P, Lewis III R (1999) Planting mangroves on intertidal mudflats: habitat restoration or habitat conversion. In: Proceedings of the ECOTONE VIII seminar enhancing coastal ecosystems restoration for the 21st century, Ranong, Thailand.p 23ñ28"
Mangrove,"Pak Phanang Bay,Thailand",8.444795,100.124768,1997,"Erftemeijer P, Lewis III R (1999) Planting mangroves on intertidal mudflats: habitat restoration or habitat conversion. In: Proceedings of the ECOTONE VIII seminar enhancing coastal ecosystems restoration for the 21st century, Ranong, Thailand.p 23ñ28"
Mangrove,"Ha Thin,Vietnam",18.406381,105.922312,1989,"Erftemeijer P, Lewis III R (1999) Planting mangroves on intertidal mudflats: habitat restoration or habitat conversion. In: Proceedings of the ECOTONE VIII seminar enhancing coastal ecosystems restoration for the 21st century, Ranong, Thailand.p 23ñ28"
Mangrove,"Nuíuuli, Tutuila Island,American Samoa",-14.313104,-170.711793,2006,"Gilman E, Ellison J (2007) Efficacy of alternative low-cost approaches to mangrove restoration, American Samoa. Estuaries and Coasts 30:641ñ651"
Mangrove,"Key West, Florida,USA",24.54475,-81.804364,1977,"Goforth HJ, Thomas J (1979) Plantings of red mangroves (Rhizophora mangle L.) for stabilization of Marl shorelines in the Florida Keys. In: Cole D (ed) Proceedings of the Sixth Annual Conference on Wetlands Restoration and Creation, May 19, 1979, Hillsborough Community College, Tampa, Florida.p 207ñ230"
Mangrove,"Sungai Haji Dorani,Malaysia",3.678421,100.952197,2008,"Hashim R, Kamali B, Tamin N, Zakaria R (2010) An integrated approach to coastal rehabilitation: Mangrove restoration in Sungai Haji Dorani, Malaysia. Estuar Coast Shelf Sci 86:118ñ124  AND                                                                                                                                                                         Kamali B, Hashim R (2011) Mangrove restoration without planting. Ecol Eng 37:387ñ391"
Mangrove,Malaysia,3.186091,101.420931,2006,"Kamali B, Hashim R (2011) Mangrove restoration without planting. Ecol Eng 37:387ñ391"
Mangrove,USA,39.037389,-76.54306,1993,"King D (1998) The dollar value of wetlands: trap set, bait taken, donít swallow. Natl Wetl Newsl 20:7ñ11"
Mangrove,"St. Croix, Virgin Islands",17.688344,-64.889073,1979,"Lewis III R (1990) Creation and restoration of coastal wetlands in Puerto Rico and the U.S. Virgin Islands. In: Kusler J, Kentula M (eds) Wetland creation and restoration: the status of the science. Island Press, Washington, p 103ñ123"
