STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,TRANSPORT_MODE,Transport mode,VEHICLE_TYPE,Vehicle type,INFRASTRUCTURE_TYPE,Infrastructure type,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDS(1.0),Annual transport trends,I,UKR,Ukraine,A,Annual,CONTAINER,Container transport,T,Tonnes,MAR,Maritime,_T,Total,_T,Total,1993,,1077,,,,,,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDS(1.0),Annual transport trends,I,UKR,Ukraine,A,Annual,CONTAINER,Container transport,T,Tonnes,MAR,Maritime,_T,Total,_T,Total,1994,,974,,,,,,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDS(1.0),Annual transport trends,I,UKR,Ukraine,A,Annual,CONTAINER,Container transport,T,Tonnes,MAR,Maritime,_T,Total,_T,Total,1995,,1168,,,,,,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDS(1.0),Annual transport trends,I,UKR,Ukraine,A,Annual,CONTAINER,Container transport,T,Tonnes,MAR,Maritime,_T,Total,_T,Total,1996,,1348,,,,,,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDS(1.0),Annual transport trends,I,UKR,Ukraine,A,Annual,CONTAINER,Container transport,T,Tonnes,MAR,Maritime,_T,Total,_T,Total,1997,,1357,,,,,,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDS(1.0),Annual transport trends,I,UKR,Ukraine,A,Annual,CONTAINER,Container transport,T,Tonnes,MAR,Maritime,_T,Total,_T,Total,1998,,1273,,,,,,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDS(1.0),Annual transport trends,I,UKR,Ukraine,A,Annual,CONTAINER,Container transport,T,Tonnes,MAR,Maritime,_T,Total,_T,Total,1999,,1262,,,,,,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDS(1.0),Annual transport trends,I,UKR,Ukraine,A,Annual,CONTAINER,Container transport,T,Tonnes,MAR,Maritime,_T,Total,_T,Total,2000,,1735,,,,,,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDS(1.0),Annual transport trends,I,UKR,Ukraine,A,Annual,CONTAINER,Container transport,T,Tonnes,MAR,Maritime,_T,Total,_T,Total,2001,,1786,,,,,,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDS(1.0),Annual transport trends,I,UKR,Ukraine,A,Annual,CONTAINER,Container transport,T,Tonnes,MAR,Maritime,_T,Total,_T,Total,2002,,2247,,,,,,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDS(1.0),Annual transport trends,I,UKR,Ukraine,A,Annual,CONTAINER,Container transport,T,Tonnes,MAR,Maritime,_T,Total,_T,Total,2003,,2948,,,,,,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDS(1.0),Annual transport trends,I,UKR,Ukraine,A,Annual,CONTAINER,Container transport,T,Tonnes,MAR,Maritime,_T,Total,_T,Total,2004,,3905,,,,,,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDS(1.0),Annual transport trends,I,UKR,Ukraine,A,Annual,CONTAINER,Container transport,T,Tonnes,MAR,Maritime,_T,Total,_T,Total,2007,,8195,,,,,,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDS(1.0),Annual transport trends,I,UKR,Ukraine,A,Annual,CONTAINER,Container transport,T,Tonnes,MAR,Maritime,_T,Total,_T,Total,2010,,6750,,,,,,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDS(1.0),Annual transport trends,I,UKR,Ukraine,A,Annual,CONTAINER,Container transport,T,Tonnes,MAR,Maritime,_T,Total,_T,Total,2011,,7632,,,,,,1,One
