,Company,City/Region,Country,Lat,Long,Type,Source,Status,,
1,Ocean-Based Climate Solutions,Santa Fe,USA,35.691544,-105.944183,Artifical Upwelling,geoengineeringmap,Exploring,,
2,Climos Inc,San Francisco,USA,37.773972,-122.431297,Ocean fertilization,geoengineeringmap,Exploring,,
3,OPR Alaska Inc.,Kodiak,USA,57.790001,-152.407227,Ocean fertilization,geoengineeringmap,Exploring,,
4,Ocean ERA,Big Island,USA,19.639994,-155.996933,Ocean fertilization,geoengineeringmap,Exploring,,
5,Atmocean,Santa Fe,USA,35.69154,-105.944183,Artifical Upwelling,AirMiners,Exploring,,
6,Climate Foundation,Woods Hole,USA,41.5227,-70.6578,Artifical Upwelling,AirMiners,Exploring,,
7,Ocean Nourishment Corporation,Sydney,Australia,-33.865143,151.2099,Ocean fertilization,AirMiners,Exploring,,
8,Pasture Partners,NA,USA,,,Ocean fertilization,AirMiners,Exploring,,
9,Captura,Pasadena,USA,34.156113,-118.131943,Electrochemical weathering,X-Prize,Exploring,,
10,Marine Permaculture Seaforestation,Woods Hole,USA,42.5227,-70.6578,Seaweed Farming,X-Prize,Exploring,,
11,RunningTide,Portland (Maine),USA,43.680031,-70.310425,Macroalgue Farming,CDR Newsletter,Exploring,,
12,Viridos,La Jolla ,USA,32.842674,-117.257767,Macroalgue Farming,CDR Newsletter,Exploring,,
13,Project Vesta,San Francisco,USA,38.773972,-122.431297,Ocean alkalinity enhancement,CDR Newsletter,Exploring,,
14,Planetary,Darthmouth,Canada,44.666668,-63.566666,Ocean alkalinity enhancement,X-Prize,Exploring,,
15,Ebb Carbon,San Carlos,USA,37.50716,-122.260521,Electrochemical weathering,X-Prize,Exploring,,
16,KFC (KelpFarmCareer),NanJing,China,32.049999,118.76667,Macroalgue Farming,X-Prize,Exploring,,
17,Seachange,Los Angeles,USA,34.052235,-118.243683,Electrochemical weathering,X-Prize,Exploring,,
18,SeaCO2,Amsterdam,Netherlands,52.377956,4.89707,Macroalgue Farming,X-Prize,Exploring,,
19,Trofx,Albany,USA,42.65258,-73.756233,Ocean fertilization,X-Prize,Exploring,,
20,Whale X - Ocean nourshment deep sea carbon export,Sydney,Australia,-32.865143,151.2099,Ocean fertilization,X-Prize,Exploring,,
21,cyanocapture,London,UK,51.509865,-0.118092,Macroalgue Farming,X-Prize,Exploring,,
22,Blue Symbiosis,Launceston,Australia,-41.429825,147.157135,NA,X-Prize,Exploring,,
23,The acidd project,Miami,USA,25.761681,-80.191788,Ocean alkalinity enhancement,X-Prize,Exploring,,
24,1point8,München,Germany,48.137154,11.576124,Macroalgue Farming,X-Prize,Exploring,,
25,Amazinggreatlight,Pender Island,Canada,48.7759,-123.256,Macroalgue Farming,X-Prize,Exploring,,
26,Atmospherica,Tucson,USA,32.25346,-110.911789,Microalgue farming,X-Prize,Exploring,,
27,Atom,Kesavadasupalem,India,16.38098,81.806024,Ocean fertilization,X-Prize,Exploring,,
28,Atrium,Houston,USA,29.749907,-95.358421,NA,X-Prize,Exploring,,
29,Azolla proxima,Shanghai,China,31.224361,121.46917,Algue Farming,X-Prize,Exploring,,
30,Bluski,Essex,USA,43.615299,-83.841919,Algue Farming,X-Prize,Exploring,,
