Model,Scenario,Region,Variable,Unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
State of CDR (2024) - Research and Development,Observed Data,World,Research|Removal|Active Grants,,35,58,66,90,95,94,104,120,169,258,367,500,627,713,734,787,827,871,941,1046,1105,1170,1160
State of CDR (2024) - Research and Development,Observed Data,World,Research|Removal|Active Grants|Afforestation and Reforestation [Share],%,31.57894736842105,21.311475409836063,15.942028985507244,14.736842105263156,15.151515151515152,13.26530612244898,15.454545454545453,20.3125,15.64245810055866,14.130434782608695,11.616161616161616,10.091743119266056,8.26086956521739,8.025477707006369,5.853658536585367,5.322763306908267,5.092091007583965,5.493387589013224,5.199628597957289,5.156382079459002,5.1681706316652996,5.447470817120623,5.784469096671949
State of CDR (2024) - Research and Development,Observed Data,World,Research|Removal|Active Grants|Biochar [Share],%,5.263157894736842,0,0,0,0,2.0408163265306123,2.727272727272727,7.03125,6.70391061452514,14.130434782608695,20.2020202020202,24.220183486238533,26.666666666666668,31.46496815286624,36.58536585365854,38.618346545866366,41.06175514626219,40.691759918616484,41.78272980501393,40.91293322062553,38.39212469237079,34.007782101167315,29.793977812995248
State of CDR (2024) - Research and Development,Observed Data,World,Research|Removal|Active Grants|Bioenergy with CCS [Share],%,2.631578947368421,1.639344262295082,0,0,1.0101010101010102,2.0408163265306123,1.8181818181818181,3.125,2.793296089385475,2.536231884057971,4.797979797979798,4.220183486238533,4.492753623188406,4.968152866242039,4.024390243902439,3.8505096262740657,4.7670639219935,5.0864699898270604,4.921077065923862,4.480135249366018,4.7579983593109105,4.824902723735409,4.754358161648177
State of CDR (2024) - Research and Development,Observed Data,World,Research|Removal|Active Grants|Coastal Wetland Restoration [Share],%,7.894736842105263,3.278688524590164,1.4492753623188406,1.0526315789473684,1.0101010101010102,1.0204081632653061,1.8181818181818181,0.78125,1.675977653631285,1.4492753623188406,1.7676767676767675,0.9174311926605505,2.1739130434782608,2.420382165605096,3.414634146341464,3.6240090600226504,3.791982665222102,3.7639877924720246,4.36397400185701,4.142011834319527,5.660377358490567,5.836575875486381,6.576862123613313
State of CDR (2024) - Research and Development,Observed Data,World,Research|Removal|Active Grants|Direct Air Capture with CCS [Share],%,0,3.278688524590164,2.898550724637681,1.0526315789473684,1.0101010101010102,2.0408163265306123,0,0,0,0,1.0101010101010102,0.5504587155963303,0.5797101449275363,0.6369426751592357,0.975609756097561,1.0192525481313703,1.5167930660888407,2.136317395727365,2.1355617455896008,2.6204564666103125,5.578342904019689,9.961089494163424,11.251980982567353
State of CDR (2024) - Research and Development,Observed Data,World,Research|Removal|Active Grants|Enhanced Weathering [Share],%,0,0,0,0,0,0,0.9090909090909091,0.78125,2.2346368715083798,2.898550724637681,2.0202020202020203,1.651376146788991,1.3043478260869565,0.7643312101910829,0.7317073170731708,0.9060022650056626,1.3001083423618636,2.034587995930824,2.2284122562674096,2.9585798816568047,2.9532403609515994,3.5797665369649803,4.675118858954041
State of CDR (2024) - Research and Development,Observed Data,World,Research|Removal|Active Grants|General [Share],%,0,0,0,1.0526315789473684,2.0202020202020203,2.0408163265306123,1.8181818181818181,0,3.910614525139665,4.3478260869565215,4.040404040404041,3.669724770642202,3.4782608695652173,2.9299363057324843,2.5609756097560976,2.7180067950169877,2.600216684723727,2.950152594099695,3.2497678737233056,3.888419273034658,4.675963904840033,4.5136186770428015,3.882725832012678
State of CDR (2024) - Research and Development,Observed Data,World,Research|Removal|Active Grants|Ocean Alkalinity Enhancement [Share],%,0,0,0,1.0526315789473684,1.0101010101010102,0,0,0.78125,0.5586592178770949,0.36231884057971014,0,0,0,0.12738853503184713,0.12195121951219512,0.11325028312570783,0.21668472372697722,0.7121057985757884,0.6499535747446611,1.183431952662722,1.2305168170631664,1.556420233463035,1.8225039619651346
State of CDR (2024) - Research and Development,Observed Data,World,Research|Removal|Active Grants|Ocean Fertilization [Share],%,15.789473684210526,21.311475409836063,18.84057971014493,16.842105263157894,12.121212121212121,10.204081632653061,8.181818181818182,7.03125,2.793296089385475,2.536231884057971,1.2626262626262625,0.7339449541284404,0.5797101449275363,0.5095541401273885,0.4878048780487805,0.5662514156285391,0.8667388949079089,1.017293997965412,0.7428040854224698,0.6762468300929839,0.4922067268252666,0.622568093385214,1.109350237717908
State of CDR (2024) - Research and Development,Observed Data,World,Research|Removal|Active Grants|Peatland Restoration [Share],%,2.631578947368421,3.278688524590164,4.3478260869565215,4.2105263157894735,6.0606060606060606,4.081632653061225,2.727272727272727,6.25,7.262569832402235,5.797101449275362,4.797979797979798,5.321100917431193,5.797101449275362,4.45859872611465,4.146341463414634,3.8505096262740657,3.5752979414951245,4.883011190233978,5.10677808727948,7.016060862214708,6.726825266611977,6.770428015564202,8.082408874801903
State of CDR (2024) - Research and Development,Observed Data,World,Research|Removal|Active Grants|Soil Carbon Sequestration [Share],%,34.21052631578947,45.90163934426229,56.52173913043478,60,60.60606060606061,63.26530612244898,64.54545454545455,53.90625,56.424581005586596,51.81159420289855,48.484848484848484,48.62385321100918,46.666666666666664,43.69426751592357,41.09756097560975,39.41109852774632,35.2112676056338,31.23092573753815,29.619312906220983,26.965342349957734,24.364232977850698,22.879377431906615,22.266244057052297
