Company,companyName (linkedin),companyUrl (linkedin),activityArea (linkedin),confidence (linkedin),search company status,Company name (linkedin),Company universalName (linkedin),Company website (linkedin),Company linkedin url (linkedin),Company founded on (linkedin),Company tagline (linkedin),Company staff count range (linkedin),Company staff (linkedin),Company phone number (linkedin),Company country (linkedin),Company geographic area (linkedin),Company city (linkedin),Company postal code (linkedin),Company street address (linkedin),Company id (linkedin),Company associated hashtags (linkedin),Company industries (linkedin),Company specialities (linkedin),Company description (linkedin),Company followers (linkedin),Company funding rounds (linkedin),Company last funding money raised (linkedin),Company last funding announced on (linkedin),enrich companies status
Atmocean,,,,,Not found,,,,,2006,,,,,,,,,,,,,,,,,,,
OceanBased Climate Solutions,ocean based climate solutions inc,https://www.linkedin.com/company/ocean-based-climate-solutions-inc,,,Not found,"Ocean-Based Climate Solutions, Inc.",ocean-based-climate-solutions-inc,https://www.ocean-based.com/,https://www.linkedin.com/company/ocean-based-climate-solutions-inc,2018,"We convert CO2 emissions into ocean fish food, boosting marine life and sequestering CO2, providing real-time MRV.",10-Feb,2,15054570190,US,New Mexico,Santa Fe,,Santa Fe Trail,14420349,"oceans, netzero, climate",Environmental Services,"carbon dioxide removal, ocean ecosystem restoration, phytoplankton regeneration, marine carbon dioxide removal, carbon capture, carbon sequestration, marine life regeneration, wave power, ocean data, open ocean, artificial upwelling, ocean upwelling","As our name implies, Ocean-based Climate Solutions, Inc. (""Ocean-based""​) is focused on leveraging and amplifying the ocean's natural countermeasures to climate change. The oceans cover 70% of the earth's surface and absorb up to 50% of excess CO2 from fossil fuel emissions. But recent studies suggest this natural carbon sink is declining due to warming.

Our suite of ocean technologies can help restore and amplify these natural processes without any negative impact on marine ecosystems.

Ocean-based is a privately-held company based in the USA, whose parent company Atmocean, Inc. (www.atmocean.com), was founded in 2006. It was recognized as a wave energy leader in 2012 by Sandia National Laboratories; awarded grants from Oregon Wave Energy Trust and the UK Technology Strategies Board; since 2006, conducted over 100 days of ocean testing offshore Texas, California, Oregon, Hawaii, Peru, and Newfoundland Canada; and performed wave tank testing at Plymouth University (UK), and Texas A&M University.

This year, Ocean-based is pleased to introduce its Corporate Gigaton Challenge as an alternative financing mechanism to remove CO2. The target is one gigaton of cumulative CO2 removed within 15 years, using technologies provided by Ocean-based.

Under this program, multinational corporations fund the deployment of CO2-removal technologies by issuing common stock rather than paying in cash. Rather than reduce corporate earnings, this program expands the number of shares issued, with the corporate market capitalization recovered as investors allocate more funds to public companies with higher ""ESG""​ profiles. With higher market cap, the net result is the company eliminates its CO2 footprint at zero or even ""negative""​ cost.

For more information, please visit https://www.ocean-based.com/",912,1,50000 USD,8/6/2021,Found
BioSink,,,,,Not found,,,,,2012,,,,,,,,,,,,,,,,,,,
Carboniferous,carboniferous,https://www.linkedin.com/company/76198669,Environmental Services,1,Found,Carboniferous,carboniferous,http://carboniferous.co,https://www.linkedin.com/company/carboniferous,2021,Anoxic Biomass Carbon Sequestration,10-Feb,4,,US,Texas,Houston,77004,,76198669,"carbon, dac, cdr",Environmental Services,"carbon, carbon sequestration, commodities, ocean science, soil science",Carboniferous sequesters carbon that has been biologically fixed through anoxic biological preservation. ,704,1,,1/1/2023,Found
Carbonwave,carbonwave,https://www.linkedin.com/company/36143056,Consumer Goods,0.5,Found,Carbonwave,carbonwaveseaweed,http://carbonwave.com,https://www.linkedin.com/company/carbonwaveseaweed,2020,"Using seaweed to address regenerative agriculture, sustainable manufacturing, and scalable carbon sequestration. ",Nov-50,38,,PR,,San Juan,,,36143056,"carbonoffset, seaweed, climatechange",Manufacturing,"seaweed, bioplastics, biostimulants, fertilizers, organic, alginate, carbon sequestration, carbon offset, carbon capture, sustainable fashion, plant based, cosmetics, emulsifiers, non woven textiles, biomaterials, biomass processing, polysaccharides, Sargassum, Beach cleanup, Regeneration","Founded in January 2020, Carbonwave (previously C-Combinator) is the world's leading developer of ultra-regenerative, plant-based, advanced biomaterials from seaweed. It transforms Sargassum seaweed, a resource long considered waste and that doesn’t need land or other typical aids to grow, into biomaterials which replace derivatives from oil and other harmful industry inputs. Carbonwave is part of a new wave of companies that are building the next-generation economies that will heal the planet through materials that regeneratively sourced from our oceans.
 
Carbonwave is focused on collecting, processing and growing seaweed profitably at scale. We are marketing seaweed extracts to the agricultural industry as organic fertilizers and biostimulants; plant-based (vegan) leathers for fashion and interiors; and broad-spectrum emulsifiers with a wide range of applications across cosmetics and skin-care products.
 ",5358,5,100000 USD,1/24/2024,Found
CROPS,crops xprize,https://www.linkedin.com/company/crops-xprize,,,Found,CROPS XPRIZE,crops-xprize,http://www.crops-xprize.com/,https://www.linkedin.com/company/crops-xprize,2022,The CROPS System for carbon capture and permanent sequestration of gigatons of carbon per year is available now.,Nov-50,1,,,,,,,77678504,"carboncapture, cropsxprize, carbonneutral",Environmental Services,,"The CROPS System for carbon capture and permanent sequestration is available now. Affordable, safe, verifiable, and massively scalable rapidly.

#carboncapture
#carbonneutral
#climatecrissis
",11,,,,Found
CSINK,,,,,Not found,,,,,2020,,,,,,,,,,,,,,,,,,,
Rewind,rewindearth,https://www.linkedin.com/company/rewindearth,Environmental Services,0.13,Found,Rewind,rewindearth,https://www.rewind.earth/,https://www.linkedin.com/company/rewindearth,2022,Rewind Climate Change,Nov-50,9,,IL,,Tel Aviv - Yafo,,Yigal Alon,82173893,"carbonremoval, rewind, climatechange",Environmental Services,"Climate Change, Carbon Removal, Sustainability","We are a mission-driven company of scientists, technologists, and entrepreneurs. Working together to restore the earth's carbon balance by storing organic carbon in the deep anoxic bottom of the Black Sea. ",1595,2,2000000 USD,3/1/2023,Found
SOS Carbon,sos carbon,https://www.linkedin.com/company/68827771,Environmental Services,0.5,Found,SOS Carbon,soscarbon,http://www.soscarbon.com,https://www.linkedin.com/company/soscarbon,2020,We provide the most cost-effective & responsible systems for sargassum collection and processing for CO2 sequestration.,Nov-50,6,+1 (829) 553-3535,DO,,Punta Cana,,,68827771,"lcmsystem, sargassumfree, soscarbon",Environmental Services,,"Mission: To provide the most cost-effective & responsible solutions for sargassum collection,  disposal, and transformation minimizing sargassum's economic, ecological, human health and environmental impacts.

Vision: To transform an environmental, economic, and coastal community health crisis into new sustainable and positive-impact industries for job creation and social and economic development for regional resilience and global climate change impact.",2700,,,,Found
Solid Carbon,solid carbon,https://www.linkedin.com/company/89699676,Environmental Services,0.5,Found,Solid Carbon,solidcarbon,http://www.solidcarbon.ca,https://www.linkedin.com/company/solidcarbon,2009,A Rock Solid Climate Solution,1,0,,CA,BC,Victoria,V8N 1V8,#100- 2474 Arbutus Road,89699676,"climatesolutions, solidcarbon, negativeemissionstechnology",Environmental Services,,"Solid Carbon is developing an offshore negative emissions technology that aims to turn carbon dioxide (CO2) into rock. It is currently led as project by Ocean Networks Canada along with an international team of researchers committed to advancing technology to draw CO2 from the air and inject it below the seafloor into ocean basalt. There, it reacts with the basalt and mineralizes into rock, providing a durable and vast reservoir for removal of CO2 emissions. This ambitious project follows a globally scalable systems approach that is urgently required to meet planetary climate targets.",166,,,,Found
