"oro_type","term","project","language","article","access","agent","granularity","date","views","year"
"CCS","Direct deep-sea carbon dioxide injection","wikipedia","en","Direct_deep-sea_carbon_dioxide_injection","all-access","all-agents","monthly",2022-11-01,79,"2022"
"CCS","Direct deep-sea carbon dioxide injection","wikipedia","en","Direct_deep-sea_carbon_dioxide_injection","all-access","all-agents","monthly",2022-12-01,151,"2022"
"CCS","Direct deep-sea carbon dioxide injection","wikipedia","en","Direct_deep-sea_carbon_dioxide_injection","all-access","all-agents","monthly",2023-01-01,132,"2023"
"CCS","Direct deep-sea carbon dioxide injection","wikipedia","en","Direct_deep-sea_carbon_dioxide_injection","all-access","all-agents","monthly",2023-02-01,303,"2023"
"CCS","Direct deep-sea carbon dioxide injection","wikipedia","en","Direct_deep-sea_carbon_dioxide_injection","all-access","all-agents","monthly",2023-03-01,442,"2023"
"CCS","Direct deep-sea carbon dioxide injection","wikipedia","en","Direct_deep-sea_carbon_dioxide_injection","all-access","all-agents","monthly",2023-04-01,390,"2023"
"CCS","Direct deep-sea carbon dioxide injection","wikipedia","en","Direct_deep-sea_carbon_dioxide_injection","all-access","all-agents","monthly",2023-05-01,416,"2023"
"CCS","Direct deep-sea carbon dioxide injection","wikipedia","en","Direct_deep-sea_carbon_dioxide_injection","all-access","all-agents","monthly",2023-06-01,391,"2023"
"CCS","Direct deep-sea carbon dioxide injection","wikipedia","en","Direct_deep-sea_carbon_dioxide_injection","all-access","all-agents","monthly",2023-07-01,447,"2023"
"CCS","Direct deep-sea carbon dioxide injection","wikipedia","en","Direct_deep-sea_carbon_dioxide_injection","all-access","all-agents","monthly",2023-08-01,507,"2023"
"CCS","Direct deep-sea carbon dioxide injection","wikipedia","en","Direct_deep-sea_carbon_dioxide_injection","all-access","all-agents","monthly",2023-09-01,436,"2023"
"CCS","Direct deep-sea carbon dioxide injection","wikipedia","en","Direct_deep-sea_carbon_dioxide_injection","all-access","all-agents","monthly",2023-10-01,571,"2023"
"CCS","Direct deep-sea carbon dioxide injection","wikipedia","en","Direct_deep-sea_carbon_dioxide_injection","all-access","all-agents","monthly",2023-11-01,458,"2023"
"CCS","Direct deep-sea carbon dioxide injection","wikipedia","en","Direct_deep-sea_carbon_dioxide_injection","all-access","all-agents","monthly",2023-12-01,401,"2023"
"CCS","Direct deep-sea carbon dioxide injection","wikipedia","en","Direct_deep-sea_carbon_dioxide_injection","all-access","all-agents","monthly",2024-01-01,578,"2024"
"CCS","Direct deep-sea carbon dioxide injection","wikipedia","en","Direct_deep-sea_carbon_dioxide_injection","all-access","all-agents","monthly",2024-02-01,492,"2024"
"CCS","Direct deep-sea carbon dioxide injection","wikipedia","en","Direct_deep-sea_carbon_dioxide_injection","all-access","all-agents","monthly",2024-03-01,419,"2024"
"CCS","Direct deep-sea carbon dioxide injection","wikipedia","en","Direct_deep-sea_carbon_dioxide_injection","all-access","all-agents","monthly",2024-04-01,354,"2024"
"CCS","Direct deep-sea carbon dioxide injection","wikipedia","en","Direct_deep-sea_carbon_dioxide_injection","all-access","all-agents","monthly",2024-05-01,344,"2024"
"CCS","Direct deep-sea carbon dioxide injection","wikipedia","en","Direct_deep-sea_carbon_dioxide_injection","all-access","all-agents","monthly",2024-06-01,352,"2024"
"CCS","Direct deep-sea carbon dioxide injection","wikipedia","en","Direct_deep-sea_carbon_dioxide_injection","all-access","all-agents","monthly",2024-07-01,394,"2024"
"CCS","Direct deep-sea carbon dioxide injection","wikipedia","en","Direct_deep-sea_carbon_dioxide_injection","all-access","all-agents","monthly",2024-08-01,361,"2024"
"CCS","Direct deep-sea carbon dioxide injection","wikipedia","en","Direct_deep-sea_carbon_dioxide_injection","all-access","all-agents","monthly",2024-09-01,353,"2024"
"CCS","Direct deep-sea carbon dioxide injection","wikipedia","en","Direct_deep-sea_carbon_dioxide_injection","all-access","all-agents","monthly",2024-10-01,440,"2024"
"CCS","Direct deep-sea carbon dioxide injection","wikipedia","en","Direct_deep-sea_carbon_dioxide_injection","all-access","all-agents","monthly",2024-11-01,315,"2024"
"CCS","Direct deep-sea carbon dioxide injection","wikipedia","en","Direct_deep-sea_carbon_dioxide_injection","all-access","all-agents","monthly",2024-12-01,305,"2024"
"CCS","Direct deep-sea carbon dioxide injection","wikipedia","fr","Stockage_océanique_du_dioxyde_de_carbone","all-access","all-agents","monthly",2022-06-01,528,"2022"
"CCS","Direct deep-sea carbon dioxide injection","wikipedia","fr","Stockage_océanique_du_dioxyde_de_carbone","all-access","all-agents","monthly",2022-07-01,113,"2022"
"CCS","Direct deep-sea carbon dioxide injection","wikipedia","fr","Stockage_océanique_du_dioxyde_de_carbone","all-access","all-agents","monthly",2022-08-01,83,"2022"
