"","component","Value","metric"
"1","Action",4,"Out-degree (N effects given)"
"2","Interest",3,"Out-degree (N effects given)"
"3","Policy",3,"Out-degree (N effects given)"
"4","Legislation",2,"Out-degree (N effects given)"
"5","Support",2,"Out-degree (N effects given)"
"6","Publications",1,"Out-degree (N effects given)"
"7","Action",5,"In-degree (N effects received)"
"8","Policy",4,"In-degree (N effects received)"
"9","Legislation",2,"In-degree (N effects received)"
"10","Support",2,"In-degree (N effects received)"
"11","Interest",1,"In-degree (N effects received)"
"12","Publications",1,"In-degree (N effects received)"
"13","Action",1,"Eigenvector centrality"
"14","Interest",0.707824637315616,"Eigenvector centrality"
"15","Publications",0.610609650118572,"Eigenvector centrality"
"16","Support",0.39488284443873,"Eigenvector centrality"
"17","Policy",0.350486003720298,"Eigenvector centrality"
"18","Legislation",0.195287499578048,"Eigenvector centrality"
"19","Action",15,"Betweenness (N shortest paths)"
"20","Policy",7,"Betweenness (N shortest paths)"
"21","Legislation",5,"Betweenness (N shortest paths)"
"22","Interest",0,"Betweenness (N shortest paths)"
"23","Publications",0,"Betweenness (N shortest paths)"
"24","Support",0,"Betweenness (N shortest paths)"
