model,label name,F1,ROC AUC,precision,recall,accuracy,F1 macro,ROC AUC macro,precision macro,recall macro,F1 - label,ROC AUC - label,precision - label,recall - label,accuracy - label,batch_size,weight_decay,learning_rate,num_epochs,class_weight
oro_type,nan,,,,,,0.7612621879087884,0.9470432202818198,0.763514073291261,0.7792750410738316,,,,,,,,,,
oro_type,MRE-Ocean,,,,,,,,,,0.7741605387782299,0.9312617133070468,0.7547036297036297,0.8033983583839676,0.8973632168754121,16.0,0.0,5e-05,4.0,-1.0
oro_type,MRE-Located,,,,,,,,,,0.7729367006264116,0.9332927721485333,0.688679707522991,0.8859649122807017,0.8847983436398071,16.0,0.0,5e-05,4.0,-1.0
oro_type,CCS,,,,,,,,,,0.7187800963081863,0.9387361382909327,0.7065081351689613,0.7341269841269842,0.9454367226387952,16.0,0.0,5e-05,4.0,-1.0
oro_type,CDR-BC,,,,,,,,,,0.8384505764995465,0.9721879100082833,0.8945035460992907,0.7967160037002775,0.9648667744522668,16.0,0.0,5e-05,4.0,-1.0
oro_type,MRE-Bio,,,,,,,,,,0.7801932367149758,0.9838214193305577,0.759090909090909,0.8125,0.9773522934144696,16.0,0.0,5e-05,4.0,-1.0
oro_type,Efficiency,,,,,,,,,,0.7977332170880558,0.9411342656536904,0.8017647058823529,0.8034883720930232,0.9582564193963159,16.0,0.0,5e-05,4.0,-1.0
oro_type,CDR-OAE,,,,,,,,,,0.707843137254902,0.948618865520409,0.7546296296296297,0.7148148148148148,0.9740520364817592,16.0,0.0,5e-05,4.0,-1.0
oro_type,CDR-BioPump,,,,,,,,,,0.7000000000000001,0.9272926779951046,0.7482323232323232,0.6831908831908832,0.9735607456688323,32.0,0.0,5e-05,4.0,-1.0
ecosystem,,,,,,,0.8103405428420909,0.9462991847287245,0.8452910052910053,0.7978876678876677,,,,,,16.0,0.0,5e-05,4.0,-1.0
ecosystem,Microalgae,,,,,,,,,,0.7227272727272727,0.938061759029501,0.6666666666666666,0.7999999999999999,0.9014708805406478,16.0,0.0,5e-05,4.0,-1.0
ecosystem,Macroalgae,,,,,,,,,,0.6355996944232238,0.8856796490147784,0.7111111111111111,0.613095238095238,0.8309083681176704,16.0,0.0,5e-05,4.0,-1.0
ecosystem,Seagrass,,,,,,,,,,0.9523809523809524,0.9851190476190476,0.9523809523809524,0.9523809523809524,0.982905982905983,16.0,0.0,5e-05,4.0,-1.0
ecosystem,Salt marsh,,,,,,,,,,0.803778677462888,0.9321592775041051,0.8962962962962964,0.7416666666666667,0.9344364937388193,16.0,0.0,5e-05,4.0,-1.0
ecosystem,Mangrove,,,,,,,,,,0.9372161172161172,0.9904761904761904,1.0,0.8822954822954824,0.9584873782548201,16.0,0.0,5e-05,4.0,-1.0
primary_research,,0.9504949329055585,0.887171992324046,0.9424635636434932,0.9595526496722867,0.9109352384256058,,,,,,,,,,16.0,0.0,1e-05,4.0,-1
outcome_quantitative,,0.8867290404534723,0.8486785581865347,0.8623781676413255,0.9135427602318722,0.8339359051200819,,,,,,,,,,16.0,0.0,5e-05,4.0,"{0: 1, 1: 0.40332640332640335}"
outcome_effectiveness,,0.7362421963621365,0.7595319126304559,0.7205414481314154,0.7645960079261515,0.7111833570811222,,,,,,,,,,32.0,0.0,5e-05,2.0,"{0: 1, 1: 0.875}"
upscaling,,0.6227487145519933,0.8235335609351432,0.6098680679153601,0.6517246642246642,0.8058080139456969,,,,,,,,,,16.0,0.0,1e-05,4.0,"{0: 1, 1: 2.9940828402366866}"
ecosystem_binary,,0.8785172732541153,0.9867739855989314,0.8658188973481923,0.8947368421052632,0.9570794244619059,,,,,,,,,,16.0,0.0,5e-05,4.0,-1
