"Component","Term","Estimate","Std. Error","t value","Pr(>|t|)","Distribution"
"Policy","(Intercept)","1.3e+00","3.7e+01","3.6e-02","9.7e-01","Quasibinomial (dispersion = 21)"
"Policy","Proportion of publications","9.4e-01","5.1e-01","1.8e+00","6.8e-02","Quasibinomial (dispersion = 21)"
"Policy","Year","-1.7e-03","1.8e-02","-9.2e-02","9.3e-01","Quasibinomial (dispersion = 21)"
"Legislation","(Intercept)","-4.6e+00","2.7e+01","-1.7e-01","8.6e-01","Quasibinomial (dispersion = 13)"
"Legislation","Proportion of publications","3e+00","3.9e-01","7.6e+00","1.1e-12","Quasibinomial (dispersion = 13)"
"Legislation","Year","1.1e-03","1.3e-02","8.2e-02","9.3e-01","Quasibinomial (dispersion = 13)"
"Interest","(Intercept)","-1.8e+00","3.2e+01","-5.8e-02","9.5e-01","Quasibinomial (dispersion = 38)"
"Interest","Proportion of publications","4.3e-01","2.6e-01","1.6e+00","1e-01","Quasibinomial (dispersion = 38)"
"Interest","Year","-7.8e-05","1.6e-02","-4.9e-03","1e+00","Quasibinomial (dispersion = 38)"
"Support","(Intercept)","-2.6e+00","8.8e+01","-3e-02","9.8e-01","Quasibinomial (dispersion = 2,570)"
"Support","Proportion of publications","1.9e+00","5.3e-01","3.5e+00","5.9e-04","Quasibinomial (dispersion = 2,570)"
"Support","Year","2.1e-04","4.4e-02","4.8e-03","1e+00","Quasibinomial (dispersion = 2,570)"
